,open,close,low,high,volume,money,factor,high_limit,low_limit,avg,pre_close,paused,DKX,MADKX
2024-09-03,43.88,44.58,43.72,45.2,31647968.0,1415250776.25,1.0,48.29,39.51,44.719,43.9,0.0,44.34571428571428,43.637857142857136
2024-09-04,44.38,44.51,44.17,45.15,21257720.0,949655587.47,1.0,49.04,40.12,44.673,44.58,0.0,44.51571428571429,43.858714285714285
2024-09-05,44.66,45.0,44.42,45.18,19863861.0,892416905.23,1.0,48.96,40.06,44.927,44.51,0.0,44.84571428571429,43.98457142857143
2024-09-06,45.15,44.4,44.4,45.15,14147570.0,632592170.47,1.0,49.5,40.5,44.714,45.0,0.0,44.72142857142857,44.096
2024-09-09,44.4,44.55,44.3,45.42,25601684.0,1144505481.71,1.0,48.84,39.96,44.704,44.4,0.0,44.59571428571429,44.21585714285714
2024-09-10,44.4,44.48,43.71,44.7,19918291.0,883221376.38,1.0,49.01,40.1,44.342,44.55,0.0,44.378571428571426,44.30471428571428
2024-09-11,44.3,45.43,44.11,45.55,29157838.0,1318678749.48,1.0,48.93,40.03,45.226,44.48,0.0,44.93571428571429,44.442142857142855
2024-09-12,45.23,44.97,44.75,45.78,18657815.0,842058821.44,1.0,49.97,40.89,45.132,45.43,0.0,45.128571428571426,44.55828571428571
2024-09-13,44.95,44.77,44.4,45.3,19509734.0,874100288.49,1.0,49.47,40.47,44.803,44.97,0.0,44.84428571428571,44.618428571428566
2024-09-18,44.89,45.12,44.78,45.59,17507905.0,791075183.21,1.0,49.25,40.29,45.184,44.77,0.0,45.07285714285714,44.73842857142857
2024-09-19,45.13,45.0,44.4,45.33,22401152.0,1006153996.93,1.0,49.63,40.61,44.915,45.12,0.0,44.998571428571424,44.803714285714285
2024-09-20,44.9,42.71,42.32,44.9,66915599.0,2879104757.0,1.0,49.5,40.5,43.026,45.0,0.0,43.59285714285714,44.71142857142857
2024-09-23,42.88,42.71,42.52,43.48,28475378.0,1219950846.87,1.0,46.98,38.44,42.842,42.71,0.0,42.84142857142857,44.511
2024-09-24,43.38,43.66,42.24,43.72,43328054.0,1866263526.75,1.0,46.98,38.44,43.073,42.71,0.0,43.38571428571429,44.377428571428574
2024-09-25,44.01,43.84,43.69,44.65,43382501.0,1914228799.72,1.0,48.03,39.29,44.124,43.66,0.0,43.98285714285714,44.31614285714286
2024-09-26,44.14,46.46,43.71,46.5,47693338.0,2151506359.31,1.0,48.22,39.46,45.111,43.84,0.0,45.40999999999999,44.419285714285714
2024-09-27,47.38,48.68,46.95,48.9,38062085.0,1826081206.27,1.0,51.11,41.81,47.976,46.46,0.0,48.09285714285714,44.735
2024-09-30,50.2,52.3,50.0,52.74,101848211.0,5250200815.04,1.0,53.55,43.81,51.549,48.68,0.0,51.43428571428571,45.36557142857143
2024-10-08,57.53,56.01,53.4,57.53,119259493.0,6658937520.41,1.0,57.53,47.07,55.836,52.3,0.0,56.28857142857142,46.51
2024-10-09,55.0,51.68,51.56,55.0,90059068.0,4785336951.01,1.0,61.61,50.41,53.136,56.01,0.0,53.08571428571428,47.31128571428571
2024-10-10,51.68,52.57,51.68,53.82,58528066.0,3089484853.64,1.0,56.85,46.51,52.786,51.68,0.0,52.36714285714286,48.04814285714286
2024-10-11,52.13,50.2,49.68,52.57,49542203.0,2518858626.84,1.0,57.83,47.31,50.843,52.57,0.0,51.01571428571429,48.79042857142857
2024-10-14,50.5,51.39,50.06,51.67,39584123.0,2016817820.08,1.0,55.22,45.18,50.95,50.2,0.0,50.98571428571429,49.60485714285714
2024-10-15,51.39,50.6,50.55,52.62,36326359.0,1870266584.74,1.0,56.53,46.25,51.485,51.39,0.0,51.107142857142854,50.376999999999995
2024-10-16,49.89,49.18,49.01,50.68,39738816.0,1971863406.59,1.0,55.66,45.54,49.621,50.6,0.0,49.57285714285714,50.93599999999999
2024-10-17,49.3,49.22,49.22,50.53,34296311.0,1711600382.51,1.0,54.1,44.26,49.906,49.18,0.0,49.43,51.338
2024-10-18,49.0,50.48,48.76,51.51,53672595.0,2684309741.47,1.0,54.14,44.3,50.013,49.22,0.0,49.958571428571425,51.52457142857143
2024-10-21,50.6,50.56,49.33,51.07,47185178.0,2372525724.23,1.0,55.53,45.43,50.281,50.48,0.0,50.46857142857142,51.428
2024-10-22,50.21,50.76,50.21,51.79,40107748.0,2046102371.24,1.0,55.62,45.5,51.015,50.56,0.0,50.67142857142857,50.866285714285716
2024-10-23,50.83,50.69,50.14,51.18,37059732.0,1875687444.76,1.0,55.84,45.68,50.613,50.76,0.0,50.72142857142857,50.62985714285715
2024-10-24,50.6,48.67,47.82,50.6,90154712.0,4383045856.42,1.0,55.76,45.62,48.617,50.69,0.0,49.37571428571429,50.33071428571428
2024-10-25,48.6,48.0,46.72,48.6,94314886.0,4498732086.92,1.0,53.54,43.8,47.699,48.67,0.0,48.074285714285715,50.03657142857143
2024-10-28,48.03,48.59,47.97,48.9,57114104.0,2769377026.23,1.0,52.8,43.2,48.488,48.0,0.0,48.38571428571429,49.77657142857143
2024-10-29,48.62,48.18,48.1,48.91,39770039.0,1926235120.3,1.0,53.45,43.73,48.434,48.59,0.0,48.39857142857142,49.50571428571429
2024-10-30,48.18,47.2,46.96,48.48,47548494.0,2256717310.93,1.0,53.0,43.36,47.461,48.18,0.0,47.62857142857143,49.31128571428572
2024-10-31,47.21,46.6,46.56,47.4,45672171.0,2138254363.36,1.0,51.92,42.48,46.817,47.2,0.0,46.88285714285714,49.056571428571424
2024-11-01,46.72,47.56,46.72,48.5,61995884.0,2962180400.84,1.0,51.26,41.94,47.78,46.6,0.0,47.33428571428572,48.79414285714286
2024-11-04,48.1,47.99,47.26,48.39,40659229.0,1942430935.72,1.0,52.32,42.8,47.773,47.56,0.0,47.97428571428571,48.544714285714285
2024-11-05,47.62,48.68,47.5,48.84,51436998.0,2489509349.52,1.0,52.79,43.19,48.399,47.99,0.0,48.23142857142857,48.300714285714285
2024-11-06,48.71,48.75,48.25,49.68,53755839.0,2624774466.76,1.0,53.55,43.81,48.828,48.68,0.0,48.800000000000004,48.10857142857143
2024-11-07,48.6,50.0,48.41,50.0,58406608.0,2882919253.85,1.0,53.63,43.88,49.359,48.75,0.0,49.37285714285714,48.108285714285714
2024-11-08,50.1,49.5,49.15,50.5,65231445.0,3240522916.53,1.0,55.0,45.0,49.677,50.0,0.0,49.76428571428571,48.27728571428572
2024-11-11,48.99,49.43,48.3,49.67,58679168.0,2870267472.46,1.0,54.45,44.55,48.915,49.5,0.0,49.17714285714286,48.356428571428566
2024-11-12,49.43,49.29,49.05,50.78,76735680.0,3839811096.48,1.0,54.37,44.49,50.039,49.43,0.0,49.50857142857143,48.46742857142857
2024-11-13,49.16,49.35,49.06,50.26,40914137.0,2023644063.37,1.0,54.22,44.36,49.461,49.29,0.0,49.38428571428572,48.643
2024-11-14,49.27,48.45,48.43,49.7,38909169.0,1911896965.86,1.0,54.29,44.42,49.137,49.35,0.0,48.86000000000001,48.84071428571429
2024-11-15,48.27,47.7,47.7,48.7,33086981.0,1593427808.9,1.0,53.3,43.61,48.159,48.45,0.0,48.00571428571429,48.90785714285715
2024-11-18,47.71,47.2,47.0,48.06,30353555.0,1443825223.57,1.0,52.47,42.93,47.567,47.7,0.0,47.440000000000005,48.85442857142858
2024-11-19,47.24,47.43,46.84,47.8,26030458.0,1230951481.61,1.0,51.92,42.48,47.289,47.2,0.0,47.34428571428571,48.76571428571429
2024-11-20,47.44,50.46,47.44,50.79,109567359.0,5459304163.24,1.0,52.17,42.69,49.826,47.43,0.0,49.212857142857146,48.807
2024-11-21,50.31,50.19,49.75,50.97,48847493.0,2454422662.56,1.0,55.51,45.41,50.247,50.46,0.0,50.27285714285714,48.897000000000006
2024-11-22,50.19,48.27,48.2,50.63,50154761.0,2463628940.67,1.0,55.21,45.17,49.121,50.19,0.0,49.145714285714284,48.835142857142856
2024-11-25,48.6,47.76,47.76,49.49,43612870.0,2119573829.2,1.0,53.1,43.44,48.6,48.27,0.0,48.24714285714286,48.742142857142866
2024-11-26,47.86,48.68,47.8,49.56,39975602.0,1955082311.49,1.0,52.54,42.98,48.907,47.76,0.0,48.44571428571429,48.63585714285715
2024-11-27,48.62,49.99,48.58,50.2,57454360.0,2862205753.74,1.0,53.55,43.81,49.817,48.68,0.0,49.42714285714285,48.64014285714286
2024-11-28,49.95,49.7,49.32,50.75,36721023.0,1836357876.79,1.0,54.99,44.99,50.008,49.99,0.0,49.86714285714286,48.74085714285714
2024-11-29,50.11,50.69,49.8,51.3,69304072.0,3512492251.03,1.0,54.67,44.73,50.682,49.7,0.0,50.48428571428571,48.98871428571429
2024-12-02,50.6,50.45,50.02,50.79,41976462.0,2116109033.03,1.0,55.76,45.62,50.412,50.69,0.0,50.480000000000004,49.29271428571428
2024-12-03,50.35,49.63,49.53,50.41,39619749.0,1972432252.84,1.0,55.5,45.41,49.784,50.45,0.0,49.93285714285714,49.55157142857142
2024-12-04,49.65,49.4,49.25,49.98,25826013.0,1281641896.65,1.0,54.59,44.67,49.626,49.63,0.0,49.53285714285715,49.58357142857143
2024-12-05,49.42,48.95,48.45,49.45,29810775.0,1454359603.36,1.0,54.34,44.46,48.786,49.4,0.0,49.08428571428572,49.46471428571429
2024-12-06,48.95,49.53,48.84,49.8,34229110.0,1688375558.64,1.0,53.85,44.06,49.326,48.95,0.0,49.30428571428571,49.48057142857142
2024-12-09,49.98,49.38,49.06,50.09,27661358.0,1368832174.52,1.0,54.48,44.58,49.485,49.53,0.0,49.60714285714287,49.616571428571426
2024-12-10,50.25,48.13,47.61,50.25,102210021.0,4957092801.94,1.0,54.32,44.44,48.499,49.38,0.0,48.964285714285715,49.66842857142858
2024-12-11,47.86,48.15,47.51,48.17,42944859.0,2056039719.76,1.0,52.94,43.32,47.876,48.13,0.0,47.97857142857142,49.52357142857143
2024-12-12,48.15,48.04,47.6,48.15,36160892.0,1732532837.9,1.0,52.97,43.34,47.912,48.15,0.0,48.02428571428572,49.339285714285715
2024-12-13,47.8,46.59,46.56,47.91,65077716.0,3061019957.39,1.0,52.84,43.24,47.036,48.04,0.0,47.12,49.002857142857145
2024-12-16,46.58,46.07,45.8,46.58,35407912.0,1630463503.21,1.0,51.25,41.93,46.048,46.59,0.0,46.25,48.57985714285714
2024-12-17,46.05,46.5,45.9,46.97,31587486.0,1470663475.53,1.0,50.68,41.46,46.558,46.07,0.0,46.35285714285714,48.22185714285715
2024-12-18,46.7,46.59,46.53,47.05,24713965.0,1154970052.49,1.0,51.15,41.85,46.733,46.5,0.0,46.67857142857143,47.93642857142858
2024-12-19,46.18,46.54,45.88,46.66,21746077.0,1007124998.38,1.0,51.25,41.93,46.313,46.59,0.0,46.36,47.664
2024-12-20,46.54,46.25,46.22,46.88,26073276.0,1212975575.52,1.0,51.19,41.89,46.522,46.54,0.0,46.41857142857142,47.37542857142857
2024-12-23,46.25,45.85,45.51,46.33,36192684.0,1660614929.28,1.0,50.88,41.63,45.883,46.25,0.0,45.98428571428571,47.01314285714285
2024-12-24,45.85,46.33,45.78,46.66,29399109.0,1362414862.76,1.0,50.44,41.27,46.342,45.85,0.0,46.16142857142857,46.73285714285714
2024-12-25,46.56,46.62,46.33,47.0,31525766.0,1472155113.05,1.0,50.96,41.7,46.697,46.33,0.0,46.61571428571428,46.59657142857143
2024-12-26,46.5,46.11,45.76,46.54,25582787.0,1178284148.18,1.0,51.28,41.96,46.058,46.62,0.0,46.23285714285714,46.41742857142857
2024-12-27,46.2,46.1,45.9,46.36,21250538.0,980779073.25,1.0,50.72,41.5,46.153,46.11,0.0,46.137142857142855,46.31914285714286
2024-12-30,46.29,46.14,46.05,46.76,25626685.0,1186680454.52,1.0,50.71,41.49,46.306,46.1,0.0,46.25857142857143,46.32
2024-12-31,46.13,45.9,45.85,46.57,38816593.0,1793640701.25,1.0,50.75,41.53,46.208,46.14,0.0,46.05428571428571,46.290142857142854
2025-01-02,45.88,44.95,44.7,46.1,34813241.0,1575496085.95,1.0,50.49,41.31,45.256,45.9,0.0,45.34428571428572,46.15671428571428
2025-01-03,45.0,44.36,44.16,45.17,27387320.0,1223704154.69,1.0,49.45,40.46,44.681,44.95,0.0,44.629999999999995,45.983714285714285
2025-01-06,44.75,45.01,44.38,45.11,30148116.0,1351231040.45,1.0,48.8,39.92,44.82,44.36,0.0,44.86,45.82785714285714
2025-01-07,45.05,44.04,44.01,45.09,25742175.0,1139218011.97,1.0,49.51,40.51,44.255,45.01,0.0,44.47428571428571,45.676857142857145
2025-01-08,44.05,43.55,42.95,44.18,35032742.0,1524946448.18,1.0,48.44,39.64,43.529,44.04,0.0,43.69714285714285,45.43042857142857
2025-01-09,43.58,43.08,43.06,43.87,25776764.0,1116825881.19,1.0,47.91,39.2,43.327,43.55,0.0,43.332857142857144,45.10214285714285
2025-01-10,43.06,42.67,42.53,43.41,26575159.0,1138717521.36,1.0,47.39,38.77,42.849,43.08,0.0,42.867142857142845,44.76557142857143
2025-01-13,42.51,42.81,42.4,43.17,19112933.0,819457430.24,1.0,46.94,38.4,42.874,42.67,0.0,42.71714285714285,44.42357142857143
2025-01-14,42.81,44.29,42.81,44.41,33775503.0,1481294681.65,1.0,47.09,38.53,43.857,42.81,0.0,43.67285714285714,44.165
